"sense_id";"lemma_id";"sense_def";"domain_id";"sense_synonym";"sense_antonym";"sense_varword";"sense_nearsyn";"sense_relword";"synset_id"
"09302001";"093020";"以膠、類似物質或特定方式使特定物體附著於後述物體上。";NULL;NULL;NULL;NULL;NULL;NULL;"199"
"04164902";"041649";"比喻心裡遭受後述事物的攻擊而忍受負面的影響。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"10001901";"100019";"阻止特定事件往負面發展並回到原來的狀態。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"10002001";"100020";"普通名詞。受到特定事件影響而產生的現象。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"10002101";"100021";"普通名詞。果實內保護果仁的堅硬外殼。";NULL;NULL;NULL;NULL;NULL;NULL;"2349"
"10002102";"100021";"普通名詞。比喻特定對象的重要核心部份。";NULL;NULL;NULL;NULL;NULL;NULL;"2418"
"10002103";"100021";"普通名詞。通指物體的中心。";NULL;NULL;NULL;NULL;NULL;NULL;"2653"
"10002104";"100021";"普通名詞。核子反應器中放置燃料和進行核分裂鏈反應的地方。";"核子物理學";NULL;NULL;NULL;NULL;NULL;"db-checked"
"10002201";"100022";"食物在體內經過物理和化學作用而轉變成身體能夠利用的物質。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"10002202";"100022";"比喻吸收理解知識。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"10002203";"100022";"比喻處理解決特定事件。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09310201";"093102";"將兩個以上的特定對象間的特質或狀態做對照比較。
";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09310202";"093102";"普通名詞。同類的兩數量相除的結果。";NULL;NULL;NULL;NULL;NULL;NULL;"2080"
"04082503";"040825";"普通名詞。接尾詞。特定競賽的名稱，通常是運動競賽。";NULL;NULL;NULL;NULL;NULL;NULL;"2297"
"04082504";"040825";"普通名詞。接尾詞。特定競賽中頒給優勝者的獎盃，通常是運動競賽。";NULL;NULL;NULL;NULL;NULL;NULL;"2296"
"09310301";"093103";"普通名詞。前述事件呈現出來的狀態。";NULL;NULL;NULL;NULL;NULL;NULL;"2035"
"04082505";"040825";"擲筊時用來和神明溝通，表達神明旨意的半月形器具。";"方言：臺灣";NULL;NULL;NULL;NULL;NULL;"db-checked"
"09051701";"090517";"普通名詞。接尾詞。特定競賽的名稱，通常是運動競賽。";NULL;NULL;NULL;NULL;NULL;NULL;"2297"
"09310302";"093103";"普通名詞。比喻特定作品達到的成熟程度。";NULL;NULL;NULL;NULL;NULL;NULL;"2414"
"09051702";"090517";"普通名詞。接尾詞。特定競賽中頒給優勝者的獎盃，通常是運動競賽。";NULL;NULL;NULL;NULL;NULL;NULL;"2296"
"09051703";"090517";"普通名詞。飲用的柱狀器皿。";NULL;NULL;NULL;NULL;NULL;NULL;"2686"
"09310401";"093104";"普通名詞。特定物質中可提供食用對象營養，增加機能的成分。
";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09310402";"093104";"普通名詞。比喻可使主事者往正面發展的特定對象。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09051704";"090517";"計算杯裝物的單位。";NULL;NULL;NULL;NULL;NULL;NULL;"3740"
"09310501";"093105";"行進時的速度較隨行隊伍慢而落後。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09310502";"093105";"比喻特定事件進行的速度比預期慢。";NULL;NULL;NULL;NULL;NULL;NULL;"2955"
"09081101";"090811";"普通名詞。地勢較低而平的坡地。";NULL;NULL;NULL;NULL;NULL;NULL;"2129"
"09081102";"090811";"普通名詞。接尾詞。通常用於地勢較低而平的坡地的名稱。";NULL;NULL;NULL;NULL;NULL;NULL;"2303"
"09310503";"093105";"比喻處於較低的水準，比不上他人。";NULL;NULL;NULL;NULL;NULL;NULL;"2996"
"09081103";"090811";"普通名詞。身體表面突起的長條狀有機組織。常用接尾詞。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09081104";"090811";"普通名詞。建築物門口工作人員守衛或值勤的地方。常用接尾詞。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09081105";"090811";"普通名詞。比喻擔任的任務或使命。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09310504";"093105";"比喻無法追隨上特定的趨勢、潮流。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09310601";"093106";"暗中跟隨特定對象的行徑。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09310602";"093106";"比喻查證或尋找特定事物的真相或來源。";NULL;NULL;NULL;NULL;NULL;NULL;"2929"
"09310701";"093107";"用交通工具乘載特定物體並將其運送至特定地點。 ";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09310801";"093108";"卵生動物的受精卵在適合的環境下發育成幼體。
";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09310802";"093108";"使卵生動物的受精卵在適合溫度及其它生長條件下發育成幼體。
";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09310803";"093108";"比喻促進事件進行。";NULL;NULL;NULL;NULL;NULL;NULL;"2796"
"09310901";"093109";"形容特定抽象對象深遠且廣大的。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09311001";"093110";"監視並檢測特定對象。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09311101";"093111";"隨意自在地遊玩。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09311102";"093111";"喻在特定領域裡享受且不受拘束地進行特定事件。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09311201";"093112";"逐漸聚集。";NULL;NULL;NULL;NULL;NULL;NULL;"3836"
"09311301";"093113";"逐漸聚集。";NULL;NULL;NULL;NULL;NULL;NULL;"3836"
"10003401";"100034";"形容沒有污垢雜質的。";NULL;NULL;NULL;NULL;NULL;NULL;"1443"
"10003402";"100034";"清理乾淨。";NULL;NULL;NULL;NULL;NULL;NULL;"3062"
"10003403";"100034";"形容特定對象看起來簡單清楚不雜亂。";NULL;NULL;NULL;NULL;NULL;NULL;"1493"
"10003404";"100034";"形容比喻思想純淨沒雜念的。";NULL;NULL;NULL;NULL;NULL;NULL;"1392"
"10003405";"100034";"形容比喻公正廉潔不貪污的。";"書面";NULL;NULL;NULL;NULL;NULL;"1370"
"06630601";"066306";"普通名詞。在三度空間內佔有特定體積並具有特定性質的物體。
";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"06630602";"066306";"普通名詞。金錢和可用金錢衡量的物品。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"06689401";"066894";"形容作用於同一物體的合力與各力任一點力矩和為零而物體保持特定狀態不變。
";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"06689402";"066894";"使作用於同一物體的合力與各力任一點力矩和為零而物體保持原本特定狀態不變。
";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"06689403";"066894";"普通名詞。身體掌握平衡的能力。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"06689404";"066894";"形容特定對象維持諧和穩定的狀態。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"10004501";"100045";"特定對象到處遷移。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"10004502";"100045";"生物透過特定方式至他處生長或繁殖。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"10004601";"100046";"普通名詞。比喻特定對象所涉及到的所有相關事物。";NULL;NULL;NULL;NULL;NULL;NULL;"2417"
"06689405";"066894";"使形容特定對象維持諧和穩定的狀態。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"06689406";"066894";"形容比喻兩個以上互相對立的特定對象之間保持穩定的發展。
";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"06689407";"066894";"比喻使形容比喻兩個以上互相對立的特定對象之間保持穩定的發展。
";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"06689408";"066894";"形容比喻心情回復到穩定狀態。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"06689409";"066894";"比喻使心情回復到原本穩定狀態。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"04020602";"040206";"代指任何一個時間，但不確定事件是否發生。";NULL;NULL;NULL;NULL;NULL;NULL;"88"
"10006501";"100065";"普通名詞。昆蟲綱蜉蝣目動物的總稱，多近水而飛，生命短暫。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"05143601";"051436";"高度小於後述比較對象。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"10007101";"100071";"形容在同類對象中具有代表性特徵。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"10007102";"100071";"普通名詞。在同類對象中具有代表性特徵的特定對象。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"03020203";"030202";"引介特定事件涉及的抽象範圍。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"10010601";"100106";"普通名詞。特定對象可與其他同類對象顯現出明顯差異並有區辨性的性質。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09044101";"090441";"普通名詞。供奉神祇或歷史上有名人物的機構，但不包括基督教。";NULL;NULL;NULL;NULL;NULL;NULL;"1989"
"10003001";"100030";"將行進中的交通工具減速並停止，通常是車子。";NULL;NULL;NULL;NULL;NULL;NULL;"882"
"10003002";"100030";"普通名詞。接尾詞。交通工具的煞車裝置，通常是車子。";NULL;NULL;NULL;NULL;NULL;NULL;"2255"
"09045501";"090455";"特定物體倒塌，通常是建築物。";NULL;NULL;NULL;NULL;NULL;NULL;"3134"
"09045502";"090455";"比喻特定對象崩潰失敗。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09045503";"090455";"形容皮膚因失去張力而不緊繃。";NULL;NULL;NULL;NULL;NULL;NULL;"db-checked"
"09045504";"090455";"形容衣物與穿著者間不密合而有空隙的。";NULL;NULL;NULL;NULL;NULL;NULL;"1565"
