"lemma_id";"cwn_pinyin";"cwn_zhuyin";"lemma_sno";"lemma_type";"meet_date"
"080601";"huang3";"ㄏㄨㄤˇ";"2";"晃";"2008/11/14 00:00:00"
"080602";"zai1";"ㄗㄞ";"2";"栽";"2008/11/14 00:00:00"
"080604";"mian2";"ㄇㄧㄢˊ";"3";"綿";"2008/11/14 00:00:00"
"080605";"zun1";"ㄗㄨㄣ";"2";"尊";"2008/11/14 00:00:00"
"080606";"dai4";"ㄉㄞˋ";"2";"戴";"2008/11/21 00:00:00"
"080607";"pai2";"ㄆㄞˊ";"2";"排";"2008/11/21 00:00:00"
"080608";"pai2";"ㄆㄞˊ";"3";"排";"2008/11/21 00:00:00"
"080609";"chang2";"ㄔㄤˊ";"2";"嘗";"2008/11/21 00:00:00"
"080610";"chang2";"ㄔㄤˊ";"3";"嘗";"2008/11/21 00:00:00"
"080611";"man4";"ㄇㄢˋ";"2";"漫";"2008/11/21 00:00:00"
"080612";"man2";"ㄇㄢˊ";"2";"埋";"2008/11/21 00:00:00"
"080613";"xi2";"ㄒㄧˊ";"2";"習";"2008/11/21 00:00:00"
"080614";"jian4";"ㄐㄧㄢˋ";"2";"見";"2008/9/19 00:00:00"
"080615";"jian4";"ㄐㄧㄢˋ";"3";"見";"2008/9/19 00:00:00"
"080616";"xian4";"ㄒㄧㄢˋ";"4";"見";"2008/9/19 00:00:00"
"080617";"mo1";"ㄇㄛ";"2";"摸";"2008/9/19 00:00:00"
"080618";"bi4";"ㄅㄧˋ";"2";"避";"2008/9/19 00:00:00"
"080619";"chu2";"ㄔˊ";"2";"馳";"2008/9/19 00:00:00"
"080620";"yao1";"ㄧㄠ";"2";"腰";"2008/12/5 00:00:00"
"080621";"diao4";"ㄉㄧㄠˋ";"2";"釣";"2008/12/5 00:00:00"
"080622";"guan3";"ㄍㄨㄢˇ";"2";"管";"2008/9/5 00:00:00"
"080623";"xiang4";"ㄒㄧㄤˋ";"4";"相";"2008/9/5 00:00:00"
"080624";"feng1";"ㄈㄥ";"2";"峰";"2008/10/3 00:00:00"
"080625";"jia1";"ㄐㄧㄚ";"2";"嘉";"2008/12/5 00:00:00"
"080626";"jia1";"ㄐㄧㄚ";"3";"嘉";"2008/12/5 00:00:00"
"080627";"ci2";"ㄘˊ";"2";"慈";"2008/12/5 00:00:00"
"080628";"ba1";"ㄅㄚ";"2";"巴";"2008/12/5 00:00:00"
